HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
5964	IL10RA	interleukin 10 receptor subunit alpha	Approved	IL10R	HIL-10R, CDW210A, CD210a, CD210	11q23.3	U00672		CD	CD molecules	471
5965	IL10RB	interleukin 10 receptor subunit beta	Approved	CRFB4, D21S58, D21S66	CRF2-4, CDW210B, IL-10R2	21q22.11	U08988		CD	CD molecules	471
5971	IL12RB1	interleukin 12 receptor subunit beta 1	Approved	IL12RB	CD212	19p13.11	U03187		CD	CD molecules	471
5974	IL13RA1	interleukin 13 receptor subunit alpha 1	Approved		IL-13Ra, NR4, CD213a1	Xq24	U62858	NM_001560	CD	CD molecules	471
5975	IL13RA2	interleukin 13 receptor subunit alpha 2	Approved		IL-13R, IL13BP, CD213a2, CT19	Xq23	X95302	NM_000640	CD	CD molecules	471
5978	IL15RA	interleukin 15 receptor subunit alpha	Approved		CD215, IL-15RA	10p15.1	U31628	NM_172200, NM_002189	CD	CD molecules	471
5985	IL17RA	interleukin 17 receptor A	Approved	IL17R	hIL-17R, IL-17RA, CDw217, CD217	22q11.1	U58917	NM_014339	CD	CD molecules	471
5988	IL18R1	interleukin 18 receptor 1	Approved		IL1RRP, IL-1Rrp, CD218a	2q12.1	U43672	NM_003855	CD	CD molecules	471
5989	IL18RAP	interleukin 18 receptor accessory protein	Approved		AcPL, CD218b	2q12.1	AF077346	NM_003853	CD	CD molecules	471
5993	IL1R1	interleukin 1 receptor type 1	Approved	IL1R, IL1RA	D2S1473, CD121A	2q11.2-q12.1	M27492		CD	CD molecules	471
5994	IL1R2	interleukin 1 receptor type 2	Approved	IL1RB	CD121b	2q11.2	X59770	NM_004633	CD	CD molecules	471
6006	IL21R	interleukin 21 receptor	Approved		CD360	16p12.1	AF254067	NM_181078	CD	CD molecules	471
6008	IL2RA	interleukin 2 receptor subunit alpha	Approved	IL2R, IDDM10	CD25	10p15.1	X01057	NM_000417	CD	CD molecules	471
6009	IL2RB	interleukin 2 receptor subunit beta	Approved	IL15RB	CD122	22q12.3	M26062		CD	CD molecules	471
6010	IL2RG	interleukin 2 receptor subunit gamma	Approved	SCIDX1, IMD4, CIDX	CD132	Xq13.1	D11086		CD	CD molecules	471
6012	IL3RA	interleukin 3 receptor subunit alpha	Approved		CD123	Xp22.3 and Yp13.3	M74782		CD	CD molecules	471
6015	IL4R	interleukin 4 receptor	Approved		CD124	16p12.1	X52425		CD	CD molecules	471
6017	IL5RA	interleukin 5 receptor subunit alpha	Approved	IL5R	CDw125, CD125	3p26.2	M96652		CD	CD molecules	471
6019	IL6R	interleukin 6 receptor	Approved		CD126	1q21.3	X12830	NM_000565	CD	CD molecules	471
6021	IL6ST	interleukin 6 signal transducer	Approved		GP130, CD130	5q11.2	M57230	NM_002184	CD	CD molecules	471
6024	IL7R	interleukin 7 receptor	Approved		CD127	5p13.2	M29696		CD	CD molecules	471
6030	IL9R	interleukin 9 receptor	Approved		CD129	Xq28 and Yq12	M84747	NM_002186	CD	CD molecules	471
6091	INSR	insulin receptor	Approved		CD220	19p13.2	M10051		CD	CD molecules	471
6134	ITGA1	integrin subunit alpha 1	Approved		VLA1, CD49a	5q11.2	X68742	NM_181501	CD	CD molecules	471
6137	ITGA2	integrin subunit alpha 2	Approved	CD49B	CD49b	5q11.2		NM_002203	CD	CD molecules	471
6138	ITGA2B	integrin subunit alpha 2b	Approved	GP2B	CD41B, CD41, PPP1R93	17q21.31			CD	CD molecules	471
6139	ITGA3	integrin subunit alpha 3	Approved	MSK18	CD49c, VLA3a, VCA-2, GAP-B3	17q21.33	M59911	NM_005501	CD	CD molecules	471
6140	ITGA4	integrin subunit alpha 4	Approved	CD49D	CD49d	2q31.3			CD	CD molecules	471
6141	ITGA5	integrin subunit alpha 5	Approved	FNRA	CD49e	12q13.13			CD	CD molecules	471
6142	ITGA6	integrin subunit alpha 6	Approved		CD49f	2q31.1			CD	CD molecules	471
6146	ITGAD	integrin subunit alpha D	Approved		CD11d, ADB2	16p11.2	U40274	NM_005353	CD	CD molecules	471
6147	ITGAE	integrin subunit alpha E	Approved		CD103, HUMINAE	17p13.2	L25851	NM_002208	CD	CD molecules	471
6148	ITGAL	integrin subunit alpha L	Approved	CD11A	LFA-1	16p11.2			CD	CD molecules	471
6149	ITGAM	integrin subunit alpha M	Approved	CR3A, CD11B	MAC-1, CD11b	16p11.2	J03925	NM_000632	CD	CD molecules	471
6150	ITGAV	integrin subunit alpha V	Approved	VNRA, MSK8, VTNR	CD51	2q32.1		NM_002210	CD	CD molecules	471
6152	ITGAX	integrin subunit alpha X	Approved	CD11C	CD11c	16p11.2	BC038237	NM_000887	CD	CD molecules	471
6153	ITGB1	integrin subunit beta 1	Approved	FNRB, MSK12, MDF2	CD29, GPIIA	10p11.22	BC020057	NM_002211	CD	CD molecules	471
6155	ITGB2	integrin subunit beta 2	Approved	CD18, MFI7	LFA-1, MAC-1	21q22.3	AK222505	NM_000211	CD	CD molecules	471
6156	ITGB3	integrin subunit beta 3	Approved	GP3A	CD61, GPIIIa	17q21.32		NM_000212	CD	CD molecules	471
6158	ITGB4	integrin subunit beta 4	Approved		CD104	17q25.1			CD	CD molecules	471
6188	JAG1	jagged 1	Approved	AGS, JAGL1	AHD, AWS, HJ1, CD339	20p12.2	U61276	NM_000214	CD	CD molecules	471
14686	JAM2	junctional adhesion molecule 2	Approved	C21orf43	VE-JAM, JAM-B, JAMB, CD322	21q21.3	AF255910		CD	CD molecules	471
6307	KDR	kinase insert domain receptor	Approved		FLK1, VEGFR, VEGFR2, CD309	4q12	AF035121		CD	CD molecules	471
6308	KEL	Kell blood group, metallo-endopeptidase	Approved		ECE3, CD238	7q34	BC003135	NM_000420	CD	CD molecules	471
6329	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1	Approved		cl-42, nkat1, 47.11, p58.1, CD158A	19q13.42	L41267	NM_014218	CD	CD molecules	471
6330	KIR2DL2	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2	Approved		cl-43, nkat6, CD158B1, CD158k	19q13.4 alternate reference locus	L76669, GL949748, GL949753	NM_014219	CD	CD molecules	471
6331	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3	Approved		cl-6, nkat2, nkat2a, nkat2b, p58, CD158B2	19q13.42	L41268		CD	CD molecules	471
6332	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4	Approved		103AS, 15.212, CD158D	19q13.42	X97229	NM_002255	CD	CD molecules	471
16345	KIR2DL5A	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A	Approved		KIR2DL5.1, KIR2DL5, CD158F	19q13.4 alternate reference locus	AF217485, GL949747	NM_020535	CD	CD molecules	471
6333	KIR2DS1	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1	Approved		EB6ActI, EB6ActII, CD158H	19q13.4 alternate reference locus	X89892, GL949751, GL949747, GL949749	NM_014512	CD	CD molecules	471
6334	KIR2DS2	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2	Approved		cl-49, nkat5, 183ActI, CD158J	19q13.4 alternate reference locus	L76667, GL949748, GL949753	NM_012312	CD	CD molecules	471
6336	KIR2DS4	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4	Approved		cl-39, KKA3, nkat8, CD158i	19q13.42	L76671	NM_012314	CD	CD molecules	471
6337	KIR2DS5	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5	Approved		nkat9, CD158G	19q13.4 alternate reference locus	L76672, GL949747	NM_014513	CD	CD molecules	471
6338	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1	Approved	KIR	cl-2, NKB1, cl-11, nkat3, NKB1B, AMB11, CD158e1/2, CD158E1, CD158e2	19q13.42	L41269	NM_013289	CD	CD molecules	471
6339	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2	Approved		cl-5, nkat4, nkat4a, nkat4b, CD158K	19q13.42	L41270		CD	CD molecules	471
16312	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3	Approved		KIRC1, KIR3DL7, KIR44, CD158z	19q13.42	AF352324	NM_153443	CD	CD molecules	471
16343	KIR3DP1	killer cell immunoglobulin like receptor, three Ig domains pseudogene 1	Approved		KIRX, KIR48, KIR2DS6, KIR3DS2P, CD158C	19q13.42	AF204919	NG_033792	CD	CD molecules	471
6342	KIT	KIT proto-oncogene receptor tyrosine kinase	Approved	PBT	CD117, SCFR, C-Kit	4q12	S67773	NM_000222	CD	CD molecules	471
6373	KLRB1	killer cell lectin like receptor B1	Approved	NKR	CD161, NKR-P1, NKR-P1A, hNKR-P1A, CLEC5B	12p13.31	U11276	NM_002258	CD	CD molecules	471
6374	KLRC1	killer cell lectin like receptor C1	Approved	NKG2	NKG2-A, NKG2-B, CD159a	12p13	U54782	NM_002259	CD	CD molecules	471
6375	KLRC2	killer cell lectin like receptor C2	Approved		NKG2-C, CD159c	12p13	X54869	NM_002260	CD	CD molecules	471
6378	KLRD1	killer cell lectin like receptor D1	Approved	CD94		12p13	U30610	NM_002262	CD	CD molecules	471
18788	KLRK1	killer cell lectin like receptor K1	Approved	D12S2489E	NKG2D, KLR, NKG2-D, CD314	12p13.2	AJ001687	NM_007360	CD	CD molecules	471
6470	L1CAM	L1 cell adhesion molecule	Approved	HSAS1, SPG1, HSAS, MASA, MIC5, S10	CD171	Xq28	M74387	NM_024003	CD	CD molecules	471
6476	LAG3	lymphocyte activating 3	Approved		CD223	12p13.31		NM_002286	CD	CD molecules	471
6477	LAIR1	leukocyte associated immunoglobulin like receptor 1	Approved		CD305	19q13.42	AF013249		CD	CD molecules	471
6478	LAIR2	leukocyte associated immunoglobulin like receptor 2	Approved		CD306	19q13.42	AF013250		CD	CD molecules	471
6499	LAMP1	lysosomal associated membrane protein 1	Approved		CD107a	13q34	J03263		CD	CD molecules	471
6501	LAMP2	lysosomal associated membrane protein 2	Approved		CD107b	Xq24	X77196		CD	CD molecules	471
14582	LAMP3	lysosomal associated membrane protein 3	Approved		LAMP, TSC403, DC-LAMP, DCLAMP, CD208	3q27.1	AB013924		CD	CD molecules	471
6554	LEPR	leptin receptor	Approved		OBR, CD295	1p31.3	U43168	NM_002303	CD	CD molecules	471
6597	LIFR	LIF receptor alpha	Approved		CD118	5p13.1	X61615	NM_002310	CD	CD molecules	471
6602	LILRA1	leukocyte immunoglobulin like receptor A1	Approved		LIR-6, CD85i, LIR6	19q13.42	AF025530	NM_006863	CD	CD molecules	471
6603	LILRA2	leukocyte immunoglobulin like receptor A2	Approved		LIR-7, ILT1, CD85h, LIR7	19q13.4	U82275		CD	CD molecules	471
6604	LILRA3	leukocyte immunoglobulin like receptor A3	Approved		LIR-4, HM43, ILT6, HM31, LIR4, CD85e	19q13.4 alternate reference locus	U91926		CD	CD molecules	471
15503	LILRA4	leukocyte immunoglobulin like receptor A4	Approved		ILT7, CD85g	19q13.42	AF041261	NM_012276	CD	CD molecules	471
16309	LILRA5	leukocyte immunoglobulin like receptor A5	Approved	LILRB7	ILT11, LIR9, CD85, CD85f	19q13.42	AF212842	NM_181985	CD	CD molecules	471
15495	LILRA6	leukocyte immunoglobulin like receptor A6	Approved	LILRB6	ILT8, CD85b	19q13.42	AF041262	NM_024318	CD	CD molecules	471
6605	LILRB1	leukocyte immunoglobulin like receptor B1	Approved		LIR-1, ILT2, MIR-7, CD85, LIR1, CD85j, PIRB, PIR-B	19q13.42	AF009220		CD	CD molecules	471
6606	LILRB2	leukocyte immunoglobulin like receptor B2	Approved		LIR-2, ILT4, MIR-10, LIR2, CD85d, MIR10	19q13.4	AF000574		CD	CD molecules	471
6607	LILRB3	leukocyte immunoglobulin like receptor B3	Approved		LIR-3, HL9, ILT5, LIR3, CD85a, PIRB, PIR-B	19q13.42	U91928	NM_006864	CD	CD molecules	471
6608	LILRB4	leukocyte immunoglobulin like receptor B4	Approved		LIR-5, ILT3, HM18, LIR5, CD85k	19q13.42	U82979		CD	CD molecules	471
6609	LILRB5	leukocyte immunoglobulin like receptor B5	Approved		LIR-8, LIR8, CD85c	19q13.4	AF025534		CD	CD molecules	471
15496	LILRP1	leukocyte immunoglobulin-like receptor pseudogene 1	Approved		ILT9, CD85l, LILRA6P	19q13.42	AF072102	NG_002681	CD	CD molecules	471
15497	LILRP2	leukocyte immunoglobulin-like receptor pseudogene 2	Approved		ILT10, CD85m	19q13.42	AF072100	NM_024317	CD	CD molecules	471
6692	LRP1	LDL receptor related protein 1	Approved	APR, A2MR, IGFBP3R1, IGFBP-3R	LRP, CD91, LRP1A, APOER	12q13.3	X13916	NM_002332	CD	CD molecules	471
6729	LY75	lymphocyte antigen 75	Approved		DEC-205, CLEC13B, CD205	2q24.2	AF011333		CD	CD molecules	471
6730	LY9	lymphocyte antigen 9	Approved		CD229, mLY9, SLAMF3, hly9	1q23.3	L42621	NM_002348	CD	CD molecules	471
6934	MCAM	melanoma cell adhesion molecule	Approved		MUC18, CD146	11q23.3	X68264		CD	CD molecules	471
7037	MELTF	melanotransferrin	Approved	MFI2	CD228, FLJ38863, MAP97, MGC4856, MTF1, MTf	3q29		NM_005929	CD	CD molecules	471
7154	MME	membrane metalloendopeptidase	Approved		CALLA, CD10, NEP	3q25.2		NM_000902	CD	CD molecules	471
7217	MPL	MPL proto-oncogene, thrombopoietin receptor	Approved		CD110, TPOR	1p34.2	M90102	NM_005373	CD	CD molecules	471
7228	MRC1	mannose receptor C-type 1	Approved	MRC1L1	CLEC13D, CD206, bA541I19.1, CLEC13DL	10p12.33	J05550	NM_002438	CD	CD molecules	471
16875	MRC2	mannose receptor C type 2	Approved		KIAA0709, ENDO180, CLEC13E, CD280	17q23	AB014609		CD	CD molecules	471
7315	MS4A1	membrane spanning 4-domains A1	Approved	CD20	B1, Bp35, MS4A2	11q12.2	M27394		CD	CD molecules	471
7376	MSR1	macrophage scavenger receptor 1	Approved		SCARA1, CD204, SR-AI, SR-AII, SR-AIII, SR-A	8p22	D13263		CD	CD molecules	471
7381	MST1R	macrophage stimulating 1 receptor	Approved	RON, PTK8	CDw136, CD136	3p21.31	X70040		CD	CD molecules	471
7508	MUC1	mucin 1, cell surface associated	Approved	PUM, MCKD1	CD227, PEM, ADMCKD, ADMCKD1, MCKD, MCD	1q22	J05581	NM_002456	CD	CD molecules	471
7656	NCAM1	neural cell adhesion molecule 1	Approved		NCAM, CD56	11q23.2		NM_000615	CD	CD molecules	471
6731	NCR1	natural cytotoxicity triggering receptor 1	Approved	LY94	NK-p46, NKP46, CD335	19q13.42	AJ001383		CD	CD molecules	471
6732	NCR2	natural cytotoxicity triggering receptor 2	Approved	LY95	NK-p44, CD336	6p21.1	AJ225109		CD	CD molecules	471
19077	NCR3	natural cytotoxicity triggering receptor 3	Approved	LY117	1C7, NKp30, CD337	6p21.33	AB055881		CD	CD molecules	471
7809	NGFR	nerve growth factor receptor	Approved		TNFRSF16, CD271, p75NTR	17q21.33	M14764		CD	CD molecules	471
8004	NRP1	neuropilin 1	Approved		NRP, VEGF165R, CD304	10p11.22	AF016050		CD	CD molecules	471
8021	NT5E	5'-nucleotidase ecto	Approved	NT5	CD73, eN, eNT, CALJA	6q14.3	X55740		CD	CD molecules	471
8760	PDCD1	programmed cell death 1	Approved	SLEB2	CD279, PD1, hSLE1, PD-1	2q37.3	AY206416	NM_005018	CD	CD molecules	471
18731	PDCD1LG2	programmed cell death 1 ligand 2	Approved		PD-L2, Btdc, PDL2, bA574F11.2, CD273, B7-DC	9p24.1	AF344424	NM_025239	CD	CD molecules	471
8803	PDGFRA	platelet derived growth factor receptor alpha	Approved		CD140a, PDGFR2, GAS9	4q12	D50001	NM_006206	CD	CD molecules	471
8804	PDGFRB	platelet derived growth factor receptor beta	Approved	PDGFR	JTK12, CD140b, PDGFR1	5q32	M21616	NM_002609	CD	CD molecules	471
8823	PECAM1	platelet and endothelial cell adhesion molecule 1	Approved		CD31	17q23.3	L34631, M37780	NM_000442	CD	CD molecules	471
21245	PI16	peptidase inhibitor 16	Approved		MGC45378, dJ90K10.5, MSMBBP, CD364	6p21.2		NM_153370	CD	CD molecules	471
9053	PLAUR	plasminogen activator, urokinase receptor	Approved		URKR, UPAR, CD87	19q13		NM_002659	CD	CD molecules	471
9106	PLXNC1	plexin C1	Approved		VESPR, CD232	12q22	AF030339		CD	CD molecules	471
9449	PRNP	prion protein	Approved	PRIP, GSS, CJD	CD230, PRP, AltPrP	20p13	M13899	NM_000311	CD	CD molecules	471
9452	PROCR	protein C receptor	Approved		EPCR, CCD41, CD201	20q11.22	L35545		CD	CD molecules	471
9454	PROM1	prominin 1	Approved	PROML1, MCDR2, STGD4	AC133, CD133, RP41, CORD12	4p15.32	AF027208	NM_006017	CD	CD molecules	471
9514	PSG1	pregnancy specific beta-1-glycoprotein 1	Approved	PSBG1	PSGGA, CD66f, PBG1	19q13.2			CD	CD molecules	471
4502	PTGDR2	prostaglandin D2 receptor 2	Approved	GPR44	CRTH2, CD294, DP2	11q12.2	AF118265	NM_004778	CD	CD molecules	471
9601	PTGFRN	prostaglandin F2 receptor inhibitor	Approved		FPRP, EWI-F, CD9P-1, FLJ11001, KIAA1436, SMAP-6, CD315	1p13.1	AB014734	NM_020440	CD	CD molecules	471
9666	PTPRC	protein tyrosine phosphatase, receptor type C	Approved	CD45	LCA, T200, GP180	1q31.3-q32.1	Y00062	NM_002838	CD	CD molecules	471
9673	PTPRJ	protein tyrosine phosphatase, receptor type J	Approved		DEP1, HPTPeta, CD148	11p11.2	U10886		CD	CD molecules	471
9705	PVR	poliovirus receptor	Approved	PVS	CD155, HVED, Necl-5, NECL5, Tage4	19q13.31	BC015542	NM_006505	CD	CD molecules	471
9706	NECTIN1	nectin cell adhesion molecule 1	Approved	HVEC, ED4, PVRL1	PRR, PRR1, PVRR1, SK-12, HIgR, CLPED1, CD111, OFC7	11q23.3	X76400		CD	CD molecules	471
9707	NECTIN2	nectin cell adhesion molecule 2	Approved	HVEB, PVRL2	PVRR2, PRR2, CD112	19q13.32	X80038	NM_002856	CD	CD molecules	471
17664	NECTIN3	nectin cell adhesion molecule 3	Approved	PVRL3	nectin-3, PPR3, PVRR3, DKFZP566B0846, CDw113, CD113	3q13.13	AF282874	NM_015480	CD	CD molecules	471
10006	RHAG	Rh associated glycoprotein	Approved		RH50A, CD241, SLC42A1	6p12.3			CD	CD molecules	471
10008	RHCE	Rh blood group CcEe antigens	Approved	RH	CD240CE	1p36.11	BC075081	NM_020485	CD	CD molecules	471
10009	RHD	Rh blood group D antigen	Approved	RH	Rh30a, Rh4, RhPI, RhII, DIIIc, CD240D	1p36.11	AB012623	NM_016124	CD	CD molecules	471
3165	S1PR1	sphingosine-1-phosphate receptor 1	Approved	EDG1	edg-1, D1S3362, CD363	1p21.2	M31210	NM_001400	CD	CD molecules	471
10658	SDC1	syndecan 1	Approved	SDC	CD138, syndecan, SYND1	2p24.1	AJ551176	NM_001006946	CD	CD molecules	471
10659	SDC2	syndecan 2	Approved	HSPG, HSPG1	fibroglycan, SYND2, CD362	8q22.1	BC030133	NM_002998	CD	CD molecules	471
10718	SELE	selectin E	Approved	ELAM1, ELAM	ESEL, CD62E	1q24.2	M30640	NM_000450	CD	CD molecules	471
10720	SELL	selectin L	Approved	LYAM1, LNHR	LSEL, LAM1, LAM-1, hLHRc, Leu-8, Lyam-1, PLNHR, CD62L	1q24.2	M25280	NM_000655	CD	CD molecules	471
10721	SELP	selectin P	Approved	GRMP	CD62, PSEL, PADGEM, GMP140, CD62P	1q24.2	BC068533	NM_003005	CD	CD molecules	471
10722	SELPLG	selectin P ligand	Approved		PSGL-1, CD162	12q24.11			CD	CD molecules	471
10732	SEMA4D	semaphorin 4D	Approved	SEMAJ, C9orf164	CD100, coll-4, FLJ39737	9q22.2	U60800	NM_006378	CD	CD molecules	471
10741	SEMA7A	semaphorin 7A (John Milton Hagen blood group)	Approved	SEMAL	H-Sema-L, CD108	15q24.1	AF069493	NM_003612	CD	CD molecules	471
11127	SIGLEC1	sialic acid binding Ig like lectin 1	Approved	SN	SIGLEC-1, CD169, FLJ00051, FLJ00055, FLJ00073, FLJ32150, dJ1009E24.1, sialoadhesin	20p13	AF230073	NM_023068	CD	CD molecules	471
10874	SIGLEC5	sialic acid binding Ig like lectin 5	Approved	CD33L2	OB-BP2, SIGLEC-5, CD170	19q13.41	U71383	NM_003830	CD	CD molecules	471
10875	SIGLEC6	sialic acid binding Ig like lectin 6	Approved	CD33L, CD33L1	OB-BP1, SIGLEC-6, CD327	19q13.41	D86358	NM_001245	CD	CD molecules	471
10876	SIGLEC7	sialic acid binding Ig like lectin 7	Approved	SIGLEC19P, SIGLECP2	SIGLEC-7, p75/AIRM1, QA79, CD328	19q13.41	AF170485	NM_016543	CD	CD molecules	471
10878	SIGLEC9	sialic acid binding Ig like lectin 9	Approved		CD329	19q13.3-q13.4	AF135027	NM_014441	CD	CD molecules	471
9662	SIRPA	signal regulatory protein alpha	Approved	PTPNS1	SHPS1, SIRP, MYD-1, BIT, P84, SHPS-1, SIRPalpha, CD172a, SIRPalpha2, MFR, SIRP-ALPHA-1	20p13	D86043	NM_080792	CD	CD molecules	471
15928	SIRPB1	signal regulatory protein beta 1	Approved		SIRP-BETA-1, CD172b	20p13	Y10376	NM_006065	CD	CD molecules	471
15757	SIRPG	signal regulatory protein gamma	Approved	SIRPB2	bA77C3.1, SIRP-B2, SIRPgamma, CD172g	20p13	AB042624	NM_018556	CD	CD molecules	471
10903	SLAMF1	signaling lymphocytic activation molecule family member 1	Approved	SLAM	CD150	1q23.3	U33017		CD	CD molecules	471
21392	SLAMF6	SLAM family member 6	Approved		KALI, NTBA, KALIb, Ly108, SF2000, NTB-A, CD352	1q23.2-q23.3	AL832854	NM_052931	CD	CD molecules	471
21394	SLAMF7	SLAM family member 7	Approved		CRACC, 19A, CS1, CD319	1q23.3	AB027233	NM_021181	CD	CD molecules	471
21391	SLAMF8	SLAM family member 8	Approved		BLAME, SBBI42, CD353	1q23.2	AF146761	NM_020125	CD	CD molecules	471
18798	SLC44A1	solute carrier family 44 member 1	Approved	CDW92	CDw92, CTL1, CHTL1, CD92	9q31.1-q31.2	AJ420812	NM_080546	CD	CD molecules	471
11027	SLC4A1	solute carrier family 4 member 1 (Diego blood group)	Approved	EPB3, AE1, DI, WD	RTA1A, CD233, FR, SW, WR	17q21.31		NM_000342	CD	CD molecules	471
11063	SLC7A5	solute carrier family 7 member 5	Approved		LAT1, E16, D16S469E, MPE16, CD98	16q24.2	AF077866	NM_003486	CD	CD molecules	471
11249	SPN	sialophorin	Approved		LSN, CD43, GPL115	16p11.2	J04536		CD	CD molecules	471
11724	TEK	TEK receptor tyrosine kinase	Approved	VMCM	TIE2, TIE-2, VMCM1, CD202b	9p21.2	L06139		CD	CD molecules	471
11763	TFRC	transferrin receptor	Approved		CD71, TFR1, p90	3q29	X01060		CD	CD molecules	471
11784	THBD	thrombomodulin	Approved		CD141	20p11.21			CD	CD molecules	471
11801	THY1	Thy-1 cell surface antigen	Approved		CD90	11q23.3	M11749	NM_006288	CD	CD molecules	471
11847	TLR1	toll like receptor 1	Approved		rsc786, KIAA0012, CD281	4p14	U88540		CD	CD molecules	471
15634	TLR10	toll like receptor 10	Approved		CD290	4p14	AF296673		CD	CD molecules	471
11848	TLR2	toll like receptor 2	Approved		TIL4, CD282	4q31.3	U88878		CD	CD molecules	471
11849	TLR3	toll like receptor 3	Approved		CD283	4q35.1	U88879		CD	CD molecules	471
11850	TLR4	toll like receptor 4	Approved		hToll, CD284, TLR-4, ARMD10	9q33.1	U88880	NM_138554	CD	CD molecules	471
16711	TLR6	toll like receptor 6	Approved		CD286	4p14			CD	CD molecules	471
15632	TLR8	toll like receptor 8	Approved		CD288	Xp22.2	AF246971	NM_016610	CD	CD molecules	471
15633	TLR9	toll like receptor 9	Approved		CD289	3p21.2	AF259262		CD	CD molecules	471
11904	TNFRSF10A	TNF receptor superfamily member 10a	Approved		DR4, Apo2, TRAILR-1, CD261, TRAILR1	8p21.3	U90875	NM_003844	CD	CD molecules	471
11905	TNFRSF10B	TNF receptor superfamily member 10b	Approved		DR5, KILLER, TRICK2A, TRAIL-R2, TRICKB, CD262, TRAILR2	8p21.3	AF012628	NM_147187	CD	CD molecules	471
11906	TNFRSF10C	TNF receptor superfamily member 10c	Approved		DcR1, TRAILR3, LIT, TRID, CD263	8p21.3	AF012536		CD	CD molecules	471
11907	TNFRSF10D	TNF receptor superfamily member 10d	Approved		DcR2, TRUNDD, TRAILR4, CD264	8p21.3	AF029761		CD	CD molecules	471
11908	TNFRSF11A	TNF receptor superfamily member 11a	Approved	PDB2, LOH18CR1	RANK, CD265, FEO	18q21.33	AF018253		CD	CD molecules	471
18152	TNFRSF12A	TNF receptor superfamily member 12A	Approved		FN14, TweakR, CD266	16p13.3	AB035480		CD	CD molecules	471
18153	TNFRSF13B	TNF receptor superfamily member 13B	Approved		TACI, CD267, IGAD2	17p11.2	AF023614		CD	CD molecules	471
17755	TNFRSF13C	TNF receptor superfamily member 13C	Approved		BAFFR, CD268	22q13.2	AF373846		CD	CD molecules	471
11912	TNFRSF14	TNF receptor superfamily member 14	Approved		HVEM, ATAR, TR2, LIGHTR, HVEA, CD270	1p36.32	U70321		CD	CD molecules	471
11913	TNFRSF17	TNF receptor superfamily member 17	Approved	BCMA	BCM, CD269, TNFRSF13A	16p13.13	Z29574		CD	CD molecules	471
11914	TNFRSF18	TNF receptor superfamily member 18	Approved		AITR, GITR, CD357	1p36.33	AF125304	NM_004195	CD	CD molecules	471
11916	TNFRSF1A	TNF receptor superfamily member 1A	Approved	TNFR1	TNF-R, TNFAR, TNFR60, TNF-R-I, CD120a, TNF-R55	12p13.31	M75866	NM_001065	CD	CD molecules	471
11917	TNFRSF1B	TNF receptor superfamily member 1B	Approved	TNFR2	TNFBR, TNFR80, TNF-R75, TNF-R-II, p75, CD120b	1p36.22	M32315	NM_001066	CD	CD molecules	471
13469	TNFRSF21	TNF receptor superfamily member 21	Approved		DR6, CD358	6p12.3	AF068868	NM_014452	CD	CD molecules	471
11918	TNFRSF4	TNF receptor superfamily member 4	Approved	TXGP1L	ACT35, OX40, CD134	1p36.33	X75962		CD	CD molecules	471
11923	TNFRSF8	TNF receptor superfamily member 8	Approved	CD30, D1S166E	KI-1	1p36.22	M83554		CD	CD molecules	471
11924	TNFRSF9	TNF receptor superfamily member 9	Approved	ILA	CD137, 4-1BB	1p36.23	L12964		CD	CD molecules	471
11925	TNFSF10	TNF superfamily member 10	Approved		TRAIL, Apo-2L, TL2, CD253	3q26	U37518		CD	CD molecules	471
11926	TNFSF11	TNF superfamily member 11	Approved		TRANCE, RANKL, OPGL, ODF, CD254	13q14	AF013171		CD	CD molecules	471
11928	TNFSF13	TNF superfamily member 13	Approved		APRIL, CD256	17p13.1	AF046888	NM_003808	CD	CD molecules	471
11929	TNFSF13B	TNF superfamily member 13b	Approved	TNFSF20	BAFF, THANK, BLYS, TALL-1, TALL1, CD257	13q33.3	AF136293		CD	CD molecules	471
11930	TNFSF14	TNF superfamily member 14	Approved		LIGHT, LTg, HVEM-L, CD258	19p13.3	AF036581		CD	CD molecules	471
11934	TNFSF4	TNF superfamily member 4	Approved	TXGP1	OX-40L, gp34, CD252	1q25.1	D90224		CD	CD molecules	471
11938	TNFSF8	TNF superfamily member 8	Approved	CD30LG	CD153	9q32-q33.1	L09753		CD	CD molecules	471
